,value
2024-09-13,213114.26780424317
2024-09-16,212706.51573274436
2024-09-17,214198.59617674048
2024-09-18,213865.42133192593
2024-09-19,212879.87589658223
2024-09-20,216233.06627346316
2024-09-23,216333.45512059177
2024-09-24,216370.89541601998
2024-09-25,214716.75727605616
2024-09-26,214572.2839142521
2024-09-27,215666.97194479546
2024-09-30,213541.69892256844
2024-10-01,213918.6730374667
2024-10-03,209351.3287970042
2024-10-04,207689.2226489478
2024-10-07,202115.71030495025
2024-10-08,206924.820996678
2024-10-09,209412.59069349192
2024-10-10,211777.29507927227
2024-10-11,212258.84576959745
2024-10-14,211405.0933209806
2024-10-15,210594.74207005152
2024-10-16,209157.67594724736
2024-10-17,205932.6230607854
2024-10-18,206508.83430103294
2024-10-21,203151.6263689399
2024-10-22,195038.97679869639
2024-10-23,198255.3678921303
2024-10-24,198039.8006345721
2024-10-25,193234.3401059806
2024-10-28,195470.77324830243
2024-10-29,196006.742050094
2024-10-30,199119.44510054265
2024-10-31,200728.72308642635
2024-11-01,202286.81457905262
2024-11-04,199137.9381207386
2024-11-05,200250.6087971256
2024-11-06,203866.81786540413
2024-11-07,203694.3316105777
2024-11-08,202040.83961551613
2024-11-11,199422.5660960329
2024-11-12,197022.85896106143
2024-11-13,191338.83561258603
2024-11-14,192251.1885274144
2024-11-18,191065.24240958854
2024-11-19,194083.47078511113
2024-11-21,191038.675036363
2024-11-22,191874.4888611261
2024-11-25,195522.42530445798
2024-11-26,196549.37668566385
2024-11-27,199025.44641616725
2024-11-28,200161.19758432236
2024-11-29,201999.59032024114
2024-12-02,202490.7729057563
2024-12-03,204123.33626399306
2024-12-04,206695.3050300246
2024-12-05,208176.54448348243
2024-12-06,209952.64322196232
2024-12-09,210318.05655907263
2024-12-10,210576.37394216962
2024-12-11,211548.56373589818
2024-12-12,209240.29304384795
2024-12-13,208186.13189683828
2024-12-16,209482.41935163052
2024-12-17,209282.81600265214
2024-12-18,206966.2393629879
2024-12-19,207262.8938857218
2024-12-20,204103.42912310374
2024-12-23,203475.6151665301
2024-12-24,203871.76428861276
2024-12-26,204550.11451377478
2024-12-27,201503.43977716946
2024-12-30,201008.17188870744
2024-12-31,201154.95780262313
2025-01-01,202759.85833519735
2025-01-02,204825.0078075289
2025-01-03,204423.08004744194
2025-01-06,198021.51524574848
2025-01-07,201162.91605927574
2025-01-08,200195.0386625143
2025-01-09,198452.50536552136
2025-01-10,193648.04838785215
2025-01-13,185506.43400569085
2025-01-14,188998.79708468542
2025-01-15,191402.59134307355
2025-01-16,193234.36716963834
2025-01-17,193584.53749285435
2025-01-20,195210.27346381775
2025-01-21,187941.52392772032
2025-01-22,185068.17909980126
2025-01-23,186094.4033201821
2025-01-24,182149.1560740338
2025-01-27,174642.2373507679
2025-01-28,173091.92617313168
2025-01-29,178660.45243091244
2025-01-30,178977.00470579462
2025-01-31,183064.08045307593
2025-02-01,184230.47404671533
2025-02-03,181763.6364204025
2025-02-04,183359.32306032043
2025-02-05,185103.60280530882
2025-02-06,184722.71762763296
2025-02-07,184339.31481596787
2025-02-10,179606.80430383934
2025-02-11,173390.81990389823
2025-02-12,172179.7259067802
2025-02-13,171676.55987669574
2025-02-14,166614.35307106737
2025-02-17,165187.69114127816
2025-02-18,163836.57740286537
2025-02-19,168122.55486193098
2025-02-20,170507.21539603063
2025-02-21,169358.37861737746
2025-02-24,167795.56149231302
2025-02-25,167327.3661101395
2025-02-27,166204.51078319157
2025-02-28,161463.02839840148
2025-03-03,160138.78210606627
2025-03-04,161549.71988393198
2025-03-05,165307.6888672057
2025-03-06,167751.44507603906
2025-03-07,168961.15018977807
2025-03-10,165369.80683262917
2025-03-11,165482.2741426675
2025-03-12,165349.27112955417
2025-03-13,165007.28744559237
2025-03-17,164518.57859503324
2025-03-18,167376.45106504636
2025-03-19,170990.00312515124
2025-03-20,172919.6767191703
2025-03-21,175341.22064584642
2025-03-24,177330.83956580036
2025-03-25,173515.03261905102
2025-03-26,171339.27208880853
2025-03-27,172636.93391686125
2025-03-28,171785.5601346957
2025-04-01,171894.9686255991
2025-04-02,174147.07870881064
2025-04-03,175608.16677097813
2025-04-04,170597.97385601784
2025-04-07,164557.65064784765
2025-04-08,169707.85162063618
2025-04-09,169164.39159744186
2025-04-11,173366.5755856517
2025-04-15,179056.63554000147
2025-04-16,180369.27521869788
2025-04-17,182398.51612810566
2025-04-21,186910.27391482217
2025-04-22,188372.3137719312
2025-04-23,191229.70359191266
2025-04-24,192201.70959050357
2025-04-25,187167.7895729644
2025-04-28,188263.95708725386
2025-04-29,190235.64684127606
2025-04-30,186622.94665033632
2025-05-02,186720.15252780542
2025-05-05,188750.60828653825
2025-05-06,184894.26066062885
2025-05-07,185599.5910099685
2025-05-08,182773.10811520388
2025-05-09,181322.84884041906
2025-05-12,190226.99733173166
2025-05-13,191657.87613113035
2025-05-14,193639.2888793863
2025-05-15,196404.7469543725
2025-05-16,200295.36616627622
2025-05-19,200227.24552055626
2025-05-20,199481.97342219573
2025-05-21,199927.12563850053
2025-05-22,199534.3678680144
2025-05-23,201347.58132587862
2025-05-26,201873.0388160668
2025-05-27,202286.05045000202
2025-05-28,202352.5344119802
2025-05-29,202032.19462513155
2025-05-30,201232.75502941484
2025-06-02,202130.787827349
2025-06-03,201100.81038972677
2025-06-04,203014.10879924922
2025-06-05,205495.9892838396
2025-06-06,207899.99157204598
2025-06-09,210608.75839398635
2025-06-10,211064.722743366
2025-06-11,208604.77889745036
2025-06-12,204607.2956694979
2025-06-13,203925.16718925338
2025-06-16,183167.39882935246
2025-06-17,181879.27016956318
2025-06-18,181647.43355018247
2025-06-19,179438.1820785783
2025-06-20,181717.9724020489
2025-06-23,182115.34211120056
2025-06-24,181911.29338789795
2025-06-25,184080.8187665791
2025-06-26,185338.75647370622
2025-06-27,185233.83119864398
2025-06-30,186225.34999234826
2025-07-01,185734.39217137592
2025-07-02,185224.80419561843
2025-07-03,184821.56972859675
2025-07-04,184972.5591275923
2025-07-07,183989.03380634022
2025-07-08,184235.24765312075
2025-07-09,184841.6662630534
2025-07-10,184255.88714816564
2025-07-11,181990.06381584707
2025-07-14,182702.23254100984
2025-07-15,184624.60721216144
2025-07-16,185041.80986548963
2025-07-17,183474.50895773608
2025-07-18,181605.31836652948
2025-07-21,180965.09703744043
2025-07-22,180234.22947035654
2025-07-23,180362.43473226446
2025-07-24,178233.89428118418
2025-07-25,171737.51479100404
2025-07-28,168776.48745326902
2025-07-29,169998.22880119778
2025-07-30,170019.2909834869
2025-07-31,169703.46141636051
2025-08-01,166973.64936732178
2025-08-04,169411.60174491588
2025-08-05,170903.82017115425
2025-08-06,168841.69425682217
2025-08-07,168858.97343006523
2025-08-08,166000.40158529812
2025-08-11,166723.03920784398
2025-08-12,166337.00371740252
2025-08-13,167428.91764776353
2025-08-14,166868.67478971416
2025-08-18,169118.5019492476
2025-08-19,170161.17905323624
2025-08-20,170550.2988775316
2025-08-21,169850.75950953513
2025-08-22,169209.81704134875
2025-08-25,169946.0205363518
2025-08-26,164477.00367901553
2025-08-28,162480.1892772437
2025-08-29,161294.98627719376
2025-09-01,164417.9545274836
2025-09-02,164914.0744689026
2025-09-03,166516.29845736866
2025-09-04,165341.75227225674
2025-09-05,165661.55194475938
2025-09-08,166906.4081798172
2025-09-09,167586.55921727137
