date,SBIN,HDFCBANK,BAJFINANCE,NEWGEN,IRCTC,AEROFLEX
2025-05-14,800.7,1910.6,9081.0,1130.45,777.9,166.96
2025-05-15,807.75,1933.8,9188.5,1152.5,785.7,166.9
2025-05-16,792.1,1934.7,9167.0,1158.95,809.05,167.39
2025-05-19,795.0,1938.7,9255.5,1147.65,804.6,169.08
2025-05-20,785.65,1914.9,9079.0,1334.55,785.75,166.63
2025-05-21,787.1,1926.8,9197.5,1266.05,790.2,167.4
2025-05-22,785.25,1919.9,9139.0,1248.2,778.85,166.54
2025-05-23,790.5,1933.6,9243.5,1260.95,783.05,166.89
2025-05-26,794.4,1940.2,9269.5,1255.55,792.9,168.58
2025-05-27,793.7,1926.3,9171.0,1253.05,793.15,167.81
2025-05-28,796.55,1923.5,9267.5,1246.0,776.35,167.02
2025-05-29,797.35,1927.5,9204.0,1209.6,774.7,165.79
2025-05-30,812.3,1944.9,9180.5,1237.1,756.0,165.88
2025-06-02,813.65,1932.1,9118.5,1230.9,766.35,164.31
2025-06-03,809.8,1924.6,8979.0,1221.2,771.5,161.9
2025-06-04,806.5,1941.2,8987.0,1224.5,777.25,163.04
2025-06-05,806.0,1949.6,8934.0,1224.4,781.25,163.26
2025-06-06,813.05,1978.7,9371.5,1234.2,779.65,163.01
2025-06-09,820.05,1978.9,9607.5,1229.8,787.9,165.77
2025-06-10,817.05,1965.3,9497.5,1225.6,788.9,164.4
2025-06-11,815.05,1950.4,9425.0,1214.4,783.0,173.48
2025-06-12,805.95,1943.4,9368.5,1175.9,771.3,174.31
2025-06-13,792.35,1917.6,9331.0,1167.3,770.65,171.02
2025-06-16,792.5,1935.4,938.0,1233.6,770.1,171.2
2025-06-17,792.3,1929.6,923.0,1222.9,768.7,167.54
2025-06-18,791.9,1933.9,919.0,1207.2,759.7,174.85
2025-06-19,785.1,1935.3,900.5,1191.8,746.8,194.87
2025-06-20,796.15,1964.7,905.0,1153.4,756.6,204.47
2025-06-23,790.2,1948.4,915.5,1154.7,757.85,204.5
2025-06-24,795.4,1960.9,916.5,1118.6,762.0,199.09
2025-06-25,800.05,1980.2,928.0,1151.6,767.55,201.19
2025-06-26,797.05,2021.8,951.5,1179.0,773.05,204.56
2025-06-27,805.4,2014.9,947.0,1153.9,785.25,209.6
2025-06-30,820.35,2001.5,936.5,1171.8,781.5,212.76
2025-07-01,820.3,2012.1,936.65,1145.4,775.5,206.36
2025-07-02,812.9,1986.0,923.0,1140.9,775.5,203.4
2025-07-03,807.1,1987.1,910.15,1134.3,778.5,203.47
2025-07-04,811.85,1989.3,925.3,1134.3,781.15,201.39
2025-07-07,806.85,1987.4,924.65,1118.7,784.35,197.78
2025-07-08,812.65,2001.4,927.65,1129.8,785.2,196.49
2025-07-09,810.95,2011.2,940.6,1125.9,786.05,196.88
2025-07-10,808.0,2006.2,947.65,1105.2,784.2,199.32
2025-07-11,808.65,1983.7,933.5,1090.0,773.7,198.25
2025-07-14,808.85,1983.0,918.85,1076.5,770.3,207.26
2025-07-15,816.45,1995.5,928.4,1079.6,773.95,214.83
2025-07-16,831.7,1996.3,921.75,1091.4,776.6,216.7
2025-07-17,829.0,1986.9,923.3,1025.6,774.75,211.38
2025-07-18,823.35,1957.4,942.0,962.6,765.3,214.3
2025-07-21,824.2,2000.5,948.45,917.3,770.45,205.9
2025-07-22,815.0,2007.1,952.55,912.7,760.6,212.87
2025-07-23,820.65,2024.3,968.3,883.2,761.95,215.92
2025-07-24,815.7,2014.2,958.95,871.5,757.15,211.79
2025-07-25,806.55,2004.6,913.75,851.1,746.25,205.93
2025-07-28,797.15,2008.5,880.5,853.0,730.1,205.98
2025-07-29,799.2,2021.6,886.55,858.1,735.8,186.98
2025-07-30,801.65,2025.8,884.85,852.6,736.15,193.05
2025-07-31,796.55,2018.2,881.2,848.9,726.05,189.03
2025-08-01,794.0,2012.2,875.6,818.15,719.2,186.82
2025-08-04,795.7,1992.0,885.3,834.1,729.9,190.2
2025-08-05,800.6,1977.6,891.9,941.7,726.25,189.22
2025-08-06,805.15,1985.3,876.65,932.15,729.65,181.81
2025-08-07,805.15,1995.4,879.1,903.35,727.15,177.76
2025-08-08,804.3,1973.9,877.15,874.4,718.95,173.42
2025-08-11,823.45,1995.6,877.8,866.05,723.3,183.26
2025-08-12,820.6,1969.9,853.0,861.8,720.55,181.62
2025-08-13,821.85,1980.3,860.0,854.7,727.35,185.99
2025-08-14,826.55,1991.1,861.45,886.45,724.8,184.4
2025-08-18,827.65,2003.6,905.2,886.5,721.9,182.85
2025-08-19,830.4,1991.1,902.3,874.9,726.4,186.84
2025-08-20,828.95,1988.2,887.8,878.3,731.2,186.27
2025-08-21,825.7,1991.2,895.6,871.1,725.7,183.86
2025-08-22,816.25,1964.6,894.5,866.45,725.0,181.01
2025-08-25,816.45,1964.1,900.8,920.75,721.85,179.68
2025-08-26,807.85,973.4,876.25,895.6,717.25,176.07
2025-08-28,801.95,957.8,876.85,902.45,699.65,172.82
2025-08-29,802.5,951.6,877.85,883.2,691.95,170.42
2025-09-01,806.05,950.6,889.35,891.6,703.95,174.77
2025-09-02,803.9,944.5,890.1,891.4,712.0,174.62
2025-09-03,812.15,954.45,896.3,904.35,712.85,180.1
2025-09-04,809.4,961.25,934.75,899.1,711.1,176.1
2025-09-05,806.6,963.4,937.6,886.75,714.05,178.32
2025-09-08,808.8,966.0,944.3,884.65,713.1,178.43
2025-09-09,808.85,965.15,948.4,878.0,713.2,175.44
2025-09-10,818.2,965.9,967.95,884.95,718.55,176.69
2025-09-11,823.65,967.8,970.25,885.9,719.7,177.58
2025-09-12,823.55,967.3,1003.25,887.5,722.2,175.9
2025-09-15,824.75,967.05,1009.85,885.55,725.25,179.08
2025-09-16,831.55,966.85,1003.25,885.2,727.2,187.63
2025-09-17,857.15,966.5,1007.5,884.6,730.95,185.87
2025-09-18,854.35,976.9,996.5,918.7,735.4,190.13
2025-09-19,862.35,966.9,992.45,915.5,736.6,189.28
2025-09-22,855.25,964.2,1006.5,898.1,727.1,192.39
2025-09-23,870.6,957.2,1025.5,884.2,722.6,192.74
2025-09-24,866.2,951.05,1029.75,875.5,715.45,185.81
2025-09-25,861.15,949.85,1012.75,909.45,714.9,185.49
2025-09-26,856.95,945.05,985.1,888.6,703.1,179.81
